dt,pos_x,pos_y,pos_z,roll,pitch,yaw,tar_x,tar_y,tar_z,tar_yaw,err_x,err_y,err_z,overall_error
0.02,0.0,0.0,0.9759,0.0,-0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0241,3.0081
0.02,0.0,0.0,0.9445,-0.00735,0.00735,-8e-05,2.0,2.0,2.0,0.0,2.0,2.0,1.0555,3.0189
0.02,0.0007,0.0007,0.9376,-0.01356,0.01358,0.00103,2.0,2.0,2.0,0.0,1.9993,1.9993,1.0624,3.0205
0.02,0.0024,0.0024,0.9522,-0.01976,0.01975,-0.00012,2.0,2.0,2.0,0.0,1.9976,1.9976,1.0478,3.013
0.02,0.0058,0.0058,0.9825,-0.02635,0.02635,0.00028,2.0,2.0,2.0,0.0,1.9942,1.9942,1.0175,2.9982
0.02,0.0111,0.0111,1.0235,-0.0327,0.03268,-0.00024,2.0,2.0,2.0,0.0,1.9889,1.9889,0.9765,2.9774
0.02,0.0187,0.0187,1.0717,-0.03867,0.03865,-0.00025,2.0,2.0,2.0,0.0,1.9813,1.9813,0.9283,2.9517
0.02,0.0288,0.0289,1.1248,-0.04451,0.04447,-0.00057,2.0,2.0,2.0,0.0,1.9712,1.9711,0.8752,2.9218
0.02,0.0418,0.0419,1.1812,-0.05023,0.05019,-0.00069,2.0,2.0,2.0,0.0,1.9582,1.9581,0.8188,2.8878
0.02,0.0579,0.058,1.2397,-0.0558,0.05573,-0.00095,2.0,2.0,2.0,0.0,1.9421,1.942,0.7603,2.8498
0.02,0.0773,0.0774,1.2996,-0.05974,0.05972,-0.00103,2.0,2.0,2.0,0.0,1.9227,1.9226,0.7004,2.8078
0.02,0.1002,0.1003,1.3605,-0.06318,0.06318,-0.00116,2.0,2.0,2.0,0.0,1.8998,1.8997,0.6395,2.7617
0.02,0.1267,0.1268,1.4219,-0.06585,0.06584,-0.0012,2.0,2.0,2.0,0.0,1.8733,1.8732,0.5781,2.7115
0.02,0.1568,0.1569,1.4838,-0.06793,0.06794,-0.00124,2.0,2.0,2.0,0.0,1.8432,1.8431,0.5162,2.6573
0.02,0.1902,0.1903,1.5431,-0.06779,0.06787,-0.00062,2.0,2.0,2.0,0.0,1.8098,1.8097,0.4569,2.5998
0.02,0.2267,0.2268,1.5968,-0.06825,0.06837,-0.00032,2.0,2.0,2.0,0.0,1.7733,1.7732,0.4032,2.54
