dt_s,pos_x,pos_y,pos_z,roll,pitch,yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,err_x_world,err_y_world,err_z,pos_error_3d
0.1,0.3882,0.4399,0.824,0.04259,-0.00913,0.10012,0.0,0.0,2.0,0.0,-0.3882,-0.4399,1.176,1.3143
0.095832,0.3895,0.4386,0.8226,0.00894,-0.00827,0.09865,0.0,0.0,2.0,0.0,-0.3895,-0.4386,1.1774,1.3154
0.1,0.3915,0.4374,0.8209,-0.00917,-0.01871,0.10324,0.0,0.0,2.0,0.0,-0.3915,-0.4374,1.1791,1.3171
0.1,0.3936,0.4371,0.8204,-0.00999,-0.01967,0.09924,0.0,0.0,2.0,0.0,-0.3936,-0.4371,1.1796,1.3181
0.099379,0.3963,0.4374,0.8204,0.04182,-0.00805,0.10244,0.0,0.0,2.0,0.0,-0.3963,-0.4374,1.1796,1.319
0.1,0.398,0.4373,0.8201,-0.00411,-0.02119,0.10049,0.0,0.0,2.0,0.0,-0.398,-0.4373,1.1799,1.3198
0.1,0.4004,0.4377,0.8207,0.02576,-0.01438,0.10133,0.0,0.0,2.0,0.0,-0.4004,-0.4377,1.1793,1.3201
0.097381,0.4023,0.4383,0.8219,0.02577,-0.0093,0.09316,0.0,0.0,2.0,0.0,-0.4023,-0.4383,1.1781,1.3198
0.1,0.4038,0.4374,0.8231,0.00597,-0.01452,0.08725,0.0,0.0,2.0,0.0,-0.4038,-0.4374,1.1769,1.3189
0.1,0.4062,0.4386,0.8247,-0.03086,-0.03447,0.09439,0.0,0.0,2.0,0.0,-0.4062,-0.4386,1.1753,1.3186
0.1,0.4078,0.4388,0.827,-0.00022,-0.02144,0.1046,0.0,0.0,2.0,0.0,-0.4078,-0.4388,1.173,1.3171
0.1,0.4096,0.4397,0.8302,0.0232,-0.01051,0.09716,0.0,0.0,2.0,0.0,-0.4096,-0.4397,1.1698,1.3152
0.092649,0.4113,0.4392,0.8328,0.03609,-0.01764,0.09793,0.0,0.0,2.0,0.0,-0.4113,-0.4392,1.1672,1.3132
0.1,0.413,0.4401,0.8347,0.01131,-0.02591,0.10859,0.0,0.0,2.0,0.0,-0.413,-0.4401,1.1653,1.3123
0.091425,0.4144,0.441,0.838,0.02709,-0.01266,0.09318,0.0,0.0,2.0,0.0,-0.4144,-0.441,1.162,1.3101
0.1,0.4145,0.4398,0.8419,0.0232,-0.03816,0.09963,0.0,0.0,2.0,0.0,-0.4145,-0.4398,1.1581,1.3063
0.099991,0.4117,0.4358,0.8539,0.08114,-0.06078,0.09239,0.0,0.0,2.0,0.0,-0.4117,-0.4358,1.1461,1.2934
0.1,0.4038,0.4257,0.8727,0.0964,-0.07713,0.08659,0.0,0.0,2.0,0.0,-0.4038,-0.4257,1.1273,1.2709
0.098595,0.3935,0.3756,0.9142,-0.48434,-0.35724,2.1283,0.0,0.0,2.0,0.0,-0.3935,-0.3756,1.0858,1.2144
