sample_index,controller_time,wind_enabled,x,y,z,roll,pitch,yaw,target_x,target_y,target_z,target_yaw,error_x_world,error_y_world,error_z,error_forward,error_left,yaw_error,vx_setpoint,vy_setpoint,vz_setpoint,yaw_rate_setpoint
1,1777301440.349756,0,0.9460903628414663,1.1838407749067437,0.7863547128778758,0.014687996883933158,-0.021242591434177945,0.18258056087754412,0.0,0.0,2.0,0.0,-0.9460903628414663,-1.1838407749067437,1.2136452871221242,-1.1453122628956827,-0.9923838851241326,-0.18258056087754412,-0.4008592920134889,-0.3473343597934464,0.6,-0.18258056087754412
2,1777301440.4518309,0,0.9734662715291525,1.1870284971426148,0.8201341712586854,0.009427789892510597,-0.024444708520878558,0.1808718531544701,0.0,0.0,2.0,0.0,-0.9734662715291525,-1.1870284971426148,1.1798658287413146,-1.1711176602207958,-0.9925505834729499,-0.1808718531544701,-0.4098911810772785,-0.3473927042155324,0.6,-0.1808718531544701
3,1777301440.5547793,0,0.949828581386935,1.1847799258389815,0.7853906534906179,0.015043461098074858,-0.02105762401628405,0.1810636755546821,0.0,0.0,2.0,0.0,-0.949828581386935,-1.1847799258389815,1.2146093465093821,-1.1476518405743625,-0.994370685165657,-0.1810636755546821,-0.4016781442010269,-0.3480297398079799,0.6,-0.1810636755546821
4,1777301440.6525433,0,0.931170098104603,1.1828024958104826,0.7575377372319078,0.01632353778594365,-0.013624859177030607,0.17891724062150247,0.0,0.0,2.0,0.0,-0.931170098104603,-1.1828024958104826,1.2424622627680924,-1.12680229755527,-0.998206430516157,-0.17891724062150247,-0.3943808041443445,-0.3493722506806549,0.6,-0.17891724062150247
5,1777301440.7442157,0,0.9218156709564991,1.181778109368963,0.743524304762279,0.024443269703375372,0.0025208868546641237,0.18169388394373082,0.0,0.0,2.0,0.0,-0.9218156709564991,-1.181778109368963,1.256475695237721,-1.1201840670063195,-0.9957566404648489,-0.18169388394373082,-0.39206442345221176,-0.3485148241626971,0.6,-0.18169388394373082
6,1777301440.8518813,0,0.9583341230220946,1.1855239838640441,0.7892160028783702,0.012094270443432786,-0.01713554819385293,0.1835129267835967,0.0,0.0,2.0,0.0,-0.9583341230220946,-1.1855239838640441,1.2107839971216299,-1.1585823612160473,-0.9907362514536604,-0.1835129267835967,-0.40550382642561655,-0.3467576880087811,0.6,-0.1835129267835967
7,1777301440.9686441,0,0.9543791280596033,1.1848490765794264,0.7825750142974772,0.0141558126247693,-0.01635321753395095,0.18474006881927557,0.0,0.0,2.0,0.0,-0.9543791280596033,-1.1848490765794264,1.2174249857025228,-1.155785591364275,-0.9893768347508757,-0.18474006881927557,-0.4045249569774962,-0.34628189216280647,0.6,-0.18474006881927557
8,1777301441.0518162,0,0.9727014354824225,1.1866238801248112,0.8054606943797892,0.013720656898272886,-0.021628382099220935,0.18473749483326887,0.0,0.0,2.0,0.0,-0.9727014354824225,-1.1866238801248112,1.1945393056202107,-1.1741195999900247,-0.9877588169139734,-0.18473749483326887,-0.4109418599965086,-0.34571558591989066,0.6,-0.18473749483326887
9,1777301441.1524096,0,0.9914653399015717,1.1885225804974084,0.828996328572757,0.016158294745100815,-0.029814937270200646,0.18750764489073476,0.0,0.0,2.0,0.0,-0.9914653399015717,-1.1885225804974084,1.171003671427243,-1.195640278569263,-0.9828701688631987,-0.18750764489073476,-0.418474097499242,-0.3440045591021195,0.6,-0.18750764489073476
10,1777301441.2490022,0,0.991065302258475,1.1884947193639224,0.827774833740351,0.01917024436044242,-0.03032237414702078,0.1880756257985972,0.0,0.0,2.0,0.0,-0.991065302258475,-1.1884947193639224,1.172225166259649,-1.1958001446891326,-0.9822383342438128,-0.1880756257985972,-0.4185300506411964,-0.34378341698533443,0.6,-0.1880756257985972
